ranking,score,titulo,bairro,custo_total,custo_m2,preco,area,condominio,iptu,quartos,garagem,score_bairro,score_qualitativo,cidade,url,coleta_data
1,100.0,"Apartamento para alugar Rua Paissandu, Flamengo, Zona Norte, Rio de Janeiro - R$ 1.600",Flamengo,2753.0,30.76923076923077,1600.0,52,1000.0,153.0,1,1,40,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-alugar-rua-paissandu-flamengo-zona-norte-rio-de-janeiro-r-1-600-1499830554,2026-05-07 11:09:34
2,90.0,Quarto  Urca / Botafogo,Botafogo,1700.0,37.77777777777778,1700.0,45,0.0,0.0,1,0,35,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-urca-botafogo-1496442639,2026-05-07 11:09:37
3,85.0,OTIMO QUARTO ATLANTICA COPACABANA POSTO 5,Copacabana,2499.0,6.2475,2499.0,400,0.0,0.0,3,0,10,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/otimo-quarto-atlantica-copacabana-posto-5-1496195887,2026-05-07 11:09:37
4,85.0,Alugo casa mobiliada vidigal,Vidigal,2500.0,33.333333333333336,2500.0,75,0.0,0.0,2,0,10,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-casa-mobiliada-vidigal-1499058852,2026-05-07 11:09:34
5,85.0,APARTAMENTO PRÓXIMO A LAPA,Santa Teresa,2474.0,28.571428571428573,2000.0,70,400.0,74.0,2,0,10,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-proximo-a-lapa-1498209647,2026-05-07 11:09:37
6,85.0,"Apartamento - C. 1105 Rua Silveira Martins, 505 - Flamengo",Flamengo,3152.0,60.0,2400.0,40,650.0,102.0,1,0,40,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-c-1105-rua-silveira-martins-505-flamengo-1497477882,2026-05-07 11:09:37
7,80.0,"Aluguel de apartamento de 2 quartos em Botafogo, ha 5 minutos a pé do Metro de Botafogo",Botafogo,4388.0,40.0,3200.0,80,950.0,238.0,2,0,35,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluguel-de-apartamento-de-2-quartos-em-botafogo-ha-5-minutos-a-pe-do-metro-de-botafogo-1496957124,2026-05-07 11:09:37
8,80.0,Imóvel para aluguel possui 68 metros quadrados com 2 quartos em Flamengo - Rio de Janeiro,Flamengo,4249.0,44.11764705882353,3000.0,68,1094.0,155.0,2,0,40,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/imovel-para-aluguel-possui-68-metros-quadrados-com-2-quartos-em-flamengo-rio-de-janeiro-1497318096,2026-05-07 11:09:37
9,80.0,"Apartamento para locação, Laranjeiras, Rio de Janeiro, RJ",Laranjeiras,3875.0,28.089887640449437,2500.0,89,1200.0,175.0,2,1,25,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-locacao-laranjeiras-rio-de-janeiro-rj-1494214568,2026-05-07 11:09:37
10,80.0,Imóvel para aluguel no Flamengo - Rio de Janeiro - RJ,Flamengo,5050.0,46.05263157894737,3500.0,76,1322.0,228.0,2,0,40,0,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/imovel-para-aluguel-no-flamengo-rio-de-janeiro-rj-1497656495,2026-05-07 11:09:37
