id,titulo,preco,area,quartos,banheiros,garagem,custo_total,bairro,regiao,endereco,tipo,url,amenities,coleta_data,score,ranking
894592628,Apartamento com 1Q,1400,55,1,1,0,2140,Icaraí,Niterói,"Alameda Vinte E Quatro de Outubro, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/894592628,"VARANDA, ARMARIOS_NOS_BANHEIROS, ARMARIOS_EMBUTIDOS_NO_QUARTO, BOX, ARMARIOS_NA_COZINHA",2026-05-11 10:40:08,90,1
894593146,Apartamento com 3Q,1550,86,3,2,0,2597,Centro,Niterói,"Rua Doutor Celestino, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/894593146,"VISTA_LIVRE, ARMARIOS_NOS_BANHEIROS, BOX, SOL_DA_MANHA, BANHEIRO_DE_SERVICO",2026-05-11 10:40:08,85,2
894963924,Apartamento com 2Q,2500,65,2,1,1,3792,Icaraí,Niterói,"Rua Joaquim Távora, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/894963924,VARANDA,2026-05-11 10:40:08,85,3
895329585,Apartamento com 2Q,2600,98,2,2,1,4261,Icaraí,Niterói,"Rua Joaquim Távora, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/895329585,"MESAS_E_CADEIRAS_DE_ESCRITORIO, MICROONDAS, FOGAO_INCLUSO, CAMA_DE_CASAL, AREA_DE_SERVICO",2026-05-11 10:40:08,80,4
894364956,Apartamento com 1Q,2400,64,1,1,0,3623,Icaraí,Niterói,"Avenida Jornalista Alberto Francisco Torres, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/894364956,"VISTA_LIVRE, QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS, MESAS_E_CADEIRAS_DE_ESCRITORIO, ARMARIOS_NOS_BANHEIROS, AR_CONDICIONADO",2026-05-11 10:40:11,80,5
895426885,Apartamento com 1Q,1800,75,1,2,0,2577,Centro,Niterói,"Rua Doutor Celestino, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/895426885,"BOX, SOL_DA_MANHA, ARMARIOS_NA_COZINHA, AREA_DE_SERVICO, PODE_TER_ANIMAIS_DE_ESTIMACAO",2026-05-11 10:40:08,80,6
895386217,Apartamento com 2Q,1150,45,2,1,0,1700,Atalaia,Niterói,"Alameda Monte Belo, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/895386217,"VISTA_LIVRE, COOKTOP, QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS, COZINHA_AMERICANA, ARMARIOS_NOS_BANHEIROS",2026-05-11 10:40:11,75,7
894914299,Apartamento com 2Q,2430,85,2,2,1,4325,Ingá,Niterói,"Rua Doutor Pereira Nunes, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/894914299,"SOL_DA_MANHA, BANHEIRO_DE_SERVICO, ARMARIOS_NA_COZINHA, LUMINOSIDADE_NATURAL, AREA_DE_SERVICO",2026-05-11 10:40:08,75,8
895293123,Apartamento com 2Q,2500,70,2,2,1,3497,São Francisco,Niterói,"Avenida Rui Barbosa, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/895293123,"VISTA_LIVRE, RUA_SILENCIOSA, SOL_DA_MANHA, LUMINOSIDADE_NATURAL, AREA_DE_SERVICO",2026-05-11 10:40:11,75,9
894734779,Apartamento com 2Q,2500,71,2,1,1,3314,Santa Rosa,Niterói,"Rua Doutor Beltrão, Niterói",Apartamento,https://www.quintoandar.com.br/imovel/894734779,"VISTA_LIVRE, QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS, ARMARIOS_NOS_BANHEIROS, BOX, SOL_DA_TARDE",2026-05-11 10:40:11,75,10
