ranking,score,titulo,bairro,zone,custo_total,custo_m2,preco,area,condominio,iptu,quartos,garagem,bathrooms,score_bairro,score_qualitativo,cidade,street,created_at,url
1,110.0,"Apto em Botafogo, 2 quartos (1 suíte) 70 m² Mobiliado Condomínio Botafogo Long Stay",Botafogo,Zona Sul,3950.0,35.714285714285715,2500,70,1200.0,250.0,2,1.0,2,35,20,Rio de Janeiro,,2026-07-13T21:11:59.058Z,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-botafogo-zona-sul-rio-de-janeiro-rj-70m2-id-2898690304/
2,105.0,Apto 2 Quartos (1 Suíte) 100 M² R. Paissandu – Flamengo Mobiliado,Flamengo,Zona Sul,4168.0,27.0,2700,100,1250.0,218.0,2,1.0,2,40,20,Rio de Janeiro,Rua Paissandu,2026-07-13T21:11:59.103Z,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-copa-flamengo-zona-sul-rio-de-janeiro-rj-100m2-id-2898694881/
3,85.0,Imóvel para aluguel tem 45 metros quadrados com 1 quarto em Flamengo - Rio de Janeiro - RJ,Flamengo,Zona Sul,3176.0,44.44444444444444,2000,45,1071.0,105.0,1,0.0,1,40,0,Rio de Janeiro,Rua Dois de Dezembro,2026-07-07T20:11:56.309Z,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-flamengo-zona-sul-rio-de-janeiro-rj-45m2-id-2897538498/
4,85.0,Imóvel para aluguel possui 44 metros quadrados com 1 quarto em Glória - Rio de Janeiro - RJ,Glória,Zona Sul,3783.0,63.63636363636363,2800,44,909.0,74.0,1,0.0,1,35,15,Rio de Janeiro,Rua Benjamim Constant,2026-07-13T15:50:15.344Z,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-elevador-gloria-zona-sul-rio-de-janeiro-rj-44m2-id-2898642678/
5,85.0,Apto com 2 quartos – (1 suíte) 94 m²- RUA PRUDENTE DE MORAIS 326 – Condominio Two Suites Ipanema,Ipanema,Zona Sul,3985.0,34.04255319148936,3200,94,700.0,85.0,2,1.0,2,10,20,Rio de Janeiro,Rua Prudente de Morais,2026-07-13T21:11:59.112Z,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-academia-ipanema-zona-sul-rio-de-janeiro-rj-94m2-id-2898690305/
6,80.0,Imóvel para aluguel e venda possui 50 metros quadrados com 2 quartos em Glória - Rio de Janeiro - RJ,Glória,Zona Sul,4080.0,70.0,3500,50,480.0,100.0,2,0.0,1,35,5,Rio de Janeiro,Rua do Fialho,2026-06-30T17:29:32.677Z,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-gloria-zona-sul-rio-de-janeiro-rj-50m2-id-2896019808/
7,80.0,"APARTAMENTO COM SALA, 2 QUARTOS, BANHEIRO, COZINHA, AREA E DEPS.COMPS. EM BOTAFOGO",Botafogo,Zona Sul,4439.0,43.67816091954023,3800,87,350.0,289.0,2,0.0,1,35,0,Rio de Janeiro,Rua Sorocaba,2026-06-26T05:48:37.403Z,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-botafogo-zona-sul-rio-de-janeiro-rj-87m2-id-2895195586/
8,80.0,Apartamento : Garden / Residencial / Botafogo,Botafogo,Zona Sul,4255.0,46.875,3000,64,1151.0,104.0,1,0.0,2,35,15,Rio de Janeiro,Rua Álvaro Ramos,2026-06-12T23:07:35.504Z,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-botafogo-zona-sul-rio-de-janeiro-rj-64m2-id-2892495830/
9,75.0,"Apartamento para alugar, 42m², no Flamengo - Rio de Janeiro.",Flamengo,Zona Sul,4252.0,76.19047619047619,3200,42,945.0,107.0,1,0.0,1,40,10,Rio de Janeiro,Rua Correa Dutra,2026-05-22T15:06:20.213Z,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-flamengo-zona-sul-rio-de-janeiro-rj-42m2-id-2888204854/
10,75.0,Apto amplo com 3 Quartos Rua das Laranjeiras 108 m² mobília Edificio Araxa,Laranjeiras,Zona Sul,4189.0,25.0,2700,108,1268.0,221.0,3,1.0,3,25,5,Rio de Janeiro,Rua das Laranjeiras,2026-07-13T21:11:59.059Z,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-lavanderia-coletiva-laranjeiras-zona-sul-rio-de-janeiro-rj-108m2-id-2898693099/
